# t rg re1 re2
761 3.458559 12.092673 12.092673
762 3.535762 11.983250 11.983250
763 3.693940 12.819218 12.819218
764 3.563701 11.739285 11.739285
765 3.624475 9.999828 9.999828
766 3.669214 10.051475 10.051475
767 3.708007 10.791121 10.791121
768 3.726312 12.129841 12.129841
769 3.526560 11.855024 11.855024
770 3.601862 11.707606 11.707606
771 3.878594 12.776009 12.776009
772 4.060498 12.110931 12.110931
773 3.984626 11.281238 11.281238
774 3.890970 10.465824 10.465824
775 3.931083 10.046066 10.046066
776 4.070624 11.259671 11.259671
777 4.130402 11.273086 11.273086
778 3.781785 10.592193 10.592193
779 3.517646 10.745029 10.745029
780 3.382441 9.311980 9.311980
781 3.451468 9.137674 9.137674
782 3.619511 8.995552 8.995552
783 3.604298 7.877381 7.877381
784 3.534470 7.485973 7.485973
785 3.629713 9.116404 9.116404
786 3.682801 10.105465 10.105465
787 3.737784 10.354938 10.354938
788 3.786152 10.292845 10.292845
789 3.721833 10.176685 10.176685
790 3.611674 10.360379 10.360379
791 3.596049 9.928714 9.928714
792 3.332681 8.163351 8.163351
793 3.169418 7.795637 7.795637
794 3.123516 8.763760 8.763760
795 3.131678 9.631945 9.631945
796 3.200036 8.711974 8.711974
797 3.140749 9.403527 9.403527
798 2.982806 9.813511 9.813511
799 2.863365 8.701157 8.701157
800 2.740476 7.452456 7.452456
801 2.893506 7.849840 7.849840
802 3.122318 9.187790 9.187790
803 3.289651 10.077439 10.077439
804 3.178432 9.688368 9.688368
805 3.206178 9.182235 9.182235
806 3.148987 10.083947 10.083947
807 3.112591 9.759118 9.759118
808 3.136524 9.114546 9.114546
809 3.092839 7.329998 7.329998
810 3.097263 5.273181 5.273181
811 2.974175 6.169784 6.169784
812 3.347671 7.716084 7.716084
813 3.754702 7.957660 7.957660
814 3.927082 9.083566 9.083566
815 3.975726 10.433096 10.433096
816 3.965343 9.947330 9.947330
817 4.032328 10.931701 10.931701
818 4.050675 11.794608 11.794608
819 4.066816 10.545350 10.545350
